id,path,r0,r1,c0,c1
0,/home/dziurawy-beret/houzz_final/00000.jpg,176,372,590,786
1,/home/dziurawy-beret/houzz_final/00000.jpg,394,590,690,886
2,/home/dziurawy-beret/houzz_final/00000.jpg,496,692,384,580
3,/home/dziurawy-beret/houzz_final/00000.jpg,526,722,301,497
4,/home/dziurawy-beret/houzz_final/00000.jpg,347,543,438,634
5,/home/dziurawy-beret/houzz_final/00000.jpg,210,406,284,480
6,/home/dziurawy-beret/houzz_final/00000.jpg,330,526,101,297
7,/home/dziurawy-beret/houzz_final/00000.jpg,322,518,440,636
8,/home/dziurawy-beret/houzz_final/00000.jpg,251,447,742,938
9,/home/dziurawy-beret/houzz_final/00000.jpg,462,658,697,893
10,/home/dziurawy-beret/houzz_final/00000.jpg,539,735,191,387
11,/home/dziurawy-beret/houzz_final/00000.jpg,115,311,212,408
12,/home/dziurawy-beret/houzz_final/00000.jpg,212,408,511,707
13,/home/dziurawy-beret/houzz_final/00000.jpg,76,272,826,1022
14,/home/dziurawy-beret/houzz_final/00000.jpg,188,384,305,501
15,/home/dziurawy-beret/houzz_final/00000.jpg,86,282,481,677
16,/home/dziurawy-beret/houzz_final/00000.jpg,427,623,153,349
17,/home/dziurawy-beret/houzz_final/00000.jpg,537,733,99,295
18,/home/dziurawy-beret/houzz_final/00000.jpg,305,501,379,575
19,/home/dziurawy-beret/houzz_final/00000.jpg,389,585,87,283
20,/home/dziurawy-beret/houzz_final/00000.jpg,329,525,682,878
21,/home/dziurawy-beret/houzz_final/00000.jpg,503,699,314,510
22,/home/dziurawy-beret/houzz_final/00000.jpg,528,724,567,763
23,/home/dziurawy-beret/houzz_final/00000.jpg,314,510,533,729
24,/home/dziurawy-beret/houzz_final/00000.jpg,10,206,320,516
25,/home/dziurawy-beret/houzz_final/00000.jpg,350,546,580,776
26,/home/dziurawy-beret/houzz_final/00000.jpg,35,231,157,353
27,/home/dziurawy-beret/houzz_final/00000.jpg,529,725,737,933
28,/home/dziurawy-beret/houzz_final/00000.jpg,107,303,791,987
29,/home/dziurawy-beret/houzz_final/00000.jpg,321,517,683,879
30,/home/dziurawy-beret/houzz_final/00001.jpg,475,671,736,932
31,/home/dziurawy-beret/houzz_final/00001.jpg,118,314,90,286
32,/home/dziurawy-beret/houzz_final/00001.jpg,358,554,46,242
33,/home/dziurawy-beret/houzz_final/00001.jpg,222,418,591,787
34,/home/dziurawy-beret/houzz_final/00001.jpg,470,666,678,874
35,/home/dziurawy-beret/houzz_final/00001.jpg,311,507,207,403
36,/home/dziurawy-beret/houzz_final/00001.jpg,522,718,172,368
37,/home/dziurawy-beret/houzz_final/00001.jpg,196,392,137,333
38,/home/dziurawy-beret/houzz_final/00001.jpg,516,712,30,226
39,/home/dziurawy-beret/houzz_final/00001.jpg,247,443,93,289
40,/home/dziurawy-beret/houzz_final/00001.jpg,341,537,689,885
41,/home/dziurawy-beret/houzz_final/00001.jpg,515,711,818,1014
42,/home/dziurawy-beret/houzz_final/00001.jpg,415,611,723,919
43,/home/dziurawy-beret/houzz_final/00001.jpg,38,234,698,894
44,/home/dziurawy-beret/houzz_final/00001.jpg,382,578,476,672
45,/home/dziurawy-beret/houzz_final/00001.jpg,570,766,103,299
46,/home/dziurawy-beret/houzz_final/00001.jpg,154,350,98,294
47,/home/dziurawy-beret/houzz_final/00001.jpg,258,454,433,629
48,/home/dziurawy-beret/houzz_final/00001.jpg,502,698,534,730
49,/home/dziurawy-beret/houzz_final/00001.jpg,356,552,65,261
50,/home/dziurawy-beret/houzz_final/00001.jpg,56,252,564,760
51,/home/dziurawy-beret/houzz_final/00001.jpg,256,452,298,494
52,/home/dziurawy-beret/houzz_final/00001.jpg,471,667,598,794
53,/home/dziurawy-beret/houzz_final/00001.jpg,79,275,314,510
54,/home/dziurawy-beret/houzz_final/00001.jpg,251,447,40,236
55,/home/dziurawy-beret/houzz_final/00001.jpg,204,400,211,407
56,/home/dziurawy-beret/houzz_final/00001.jpg,141,337,467,663
57,/home/dziurawy-beret/houzz_final/00001.jpg,470,666,448,644
58,/home/dziurawy-beret/houzz_final/00001.jpg,101,297,183,379
59,/home/dziurawy-beret/houzz_final/00001.jpg,567,763,242,438
60,/home/dziurawy-beret/houzz_final/00002.jpg,496,692,602,798
61,/home/dziurawy-beret/houzz_final/00002.jpg,133,329,532,728
62,/home/dziurawy-beret/houzz_final/00002.jpg,21,217,165,361
63,/home/dziurawy-beret/houzz_final/00002.jpg,296,492,56,252
64,/home/dziurawy-beret/houzz_final/00002.jpg,341,537,318,514
